sepal_length,sepal_width,petal_length,petal_width,species,sepal_ratio,petal_ratio,is_petal_long
5.1,3.5,1.4,0.2,setosa,1.457142857142857,6.999999999999999,False
4.9,3.0,1.4,0.2,setosa,1.6333333333333335,6.999999999999999,False
4.7,3.2,1.3,0.2,setosa,1.46875,6.5,False
4.6,3.1,1.5,0.2,setosa,1.4838709677419353,7.5,False
5.0,3.6,1.4,0.2,setosa,1.3888888888888888,6.999999999999999,False
5.4,3.9,1.7,0.4,setosa,1.3846153846153848,4.25,False
4.6,3.4,1.4,0.3,setosa,1.352941176470588,4.666666666666667,False
5.0,3.4,1.5,0.2,setosa,1.4705882352941178,7.5,False
4.4,2.9,1.4,0.2,setosa,1.517241379310345,6.999999999999999,False
4.9,3.1,1.5,0.1,setosa,1.5806451612903227,15.0,False
5.4,3.7,1.5,0.2,setosa,1.4594594594594594,7.5,False
4.8,3.4,1.6,0.2,setosa,1.411764705882353,8.0,False
4.8,3.0,1.4,0.1,setosa,1.5999999999999999,13.999999999999998,False
4.3,3.0,1.1,0.1,setosa,1.4333333333333333,11.0,False
5.8,4.0,1.2,0.2,setosa,1.45,5.999999999999999,False
5.7,4.4,1.5,0.4,setosa,1.2954545454545454,3.75,False
5.4,3.9,1.3,0.4,setosa,1.3846153846153848,3.25,False
5.1,3.5,1.4,0.3,setosa,1.457142857142857,4.666666666666667,False
5.7,3.8,1.7,0.3,setosa,1.5000000000000002,5.666666666666667,False
5.1,3.8,1.5,0.3,setosa,1.3421052631578947,5.0,False
5.4,3.4,1.7,0.2,setosa,1.5882352941176472,8.5,False
5.1,3.7,1.5,0.4,setosa,1.3783783783783783,3.75,False
4.6,3.6,1.0,0.2,setosa,1.2777777777777777,5.0,False
5.1,3.3,1.7,0.5,setosa,1.5454545454545454,3.4,False
4.8,3.4,1.9,0.2,setosa,1.411764705882353,9.499999999999998,False
5.0,3.0,1.6,0.2,setosa,1.6666666666666667,8.0,False
5.0,3.4,1.6,0.4,setosa,1.4705882352941178,4.0,False
5.2,3.5,1.5,0.2,setosa,1.4857142857142858,7.5,False
5.2,3.4,1.4,0.2,setosa,1.5294117647058825,6.999999999999999,False
4.7,3.2,1.6,0.2,setosa,1.46875,8.0,False
4.8,3.1,1.6,0.2,setosa,1.5483870967741935,8.0,False
5.4,3.4,1.5,0.4,setosa,1.5882352941176472,3.75,False
5.2,4.1,1.5,0.1,setosa,1.2682926829268295,15.0,False
5.5,4.2,1.4,0.2,setosa,1.3095238095238095,6.999999999999999,False
4.9,3.1,1.5,0.2,setosa,1.5806451612903227,7.5,False
5.0,3.2,1.2,0.2,setosa,1.5625,5.999999999999999,False
5.5,3.5,1.3,0.2,setosa,1.5714285714285714,6.5,False
4.9,3.6,1.4,0.1,setosa,1.3611111111111112,13.999999999999998,False
4.4,3.0,1.3,0.2,setosa,1.4666666666666668,6.5,False
5.1,3.4,1.5,0.2,setosa,1.5,7.5,False
5.0,3.5,1.3,0.3,setosa,1.4285714285714286,4.333333333333334,False
4.5,2.3,1.3,0.3,setosa,1.956521739130435,4.333333333333334,False
4.4,3.2,1.3,0.2,setosa,1.375,6.5,False
