survived,pclass,sex,age,sibsp,parch,fare,embarked,alone,age_fare_ratio,is_high_fare
0,3,male,22.0,1,0,7.25,S,False,3.0344827586206895,False
1,1,female,38.0,1,0,71.2833,C,False,0.5330841866187452,True
1,3,female,26.0,0,0,7.925,S,True,3.280757097791798,False
1,1,female,35.0,1,0,53.1,S,False,0.6591337099811676,True
0,3,male,35.0,0,0,8.05,S,True,4.3478260869565215,False
0,3,male,28.0,0,0,8.4583,Q,True,3.3103578733315207,False
0,1,male,54.0,0,0,51.8625,S,True,1.0412147505422995,True
0,3,male,2.0,3,1,21.075,S,False,0.09489916963226572,False
1,3,female,27.0,0,2,11.1333,S,False,2.425156961547789,False
1,2,female,14.0,1,0,30.0708,C,False,0.465567926360456,False
1,3,female,4.0,1,1,16.7,S,False,0.23952095808383234,False
1,1,female,58.0,0,0,26.55,S,True,2.184557438794727,False
0,3,male,20.0,0,0,8.05,S,True,2.484472049689441,False
0,3,male,39.0,1,5,31.275,S,False,1.2470023980815348,False
0,3,female,14.0,0,0,7.8542,S,True,1.7824858037737772,False
1,2,female,55.0,0,0,16.0,S,True,3.4375,False
0,3,male,2.0,4,1,29.125,Q,False,0.06866952789699571,False
1,2,male,28.0,0,0,13.0,S,True,2.1538461538461537,False
0,3,female,31.0,1,0,18.0,S,False,1.7222222222222223,False
1,3,female,28.0,0,0,7.225,C,True,3.8754325259515574,False
0,2,male,35.0,0,0,26.0,S,True,1.3461538461538463,False
1,2,male,34.0,0,0,13.0,S,True,2.6153846153846154,False
1,3,female,15.0,0,0,8.0292,Q,True,1.8681811388432223,False
1,1,male,28.0,0,0,35.5,S,True,0.7887323943661971,True
0,3,female,8.0,3,1,21.075,S,False,0.37959667852906287,False
1,3,female,38.0,1,5,31.3875,S,False,1.210673038630028,False
0,3,male,28.0,0,0,7.225,C,True,3.8754325259515574,False
0,1,male,19.0,3,2,263.0,S,False,0.07224334600760456,True
1,3,female,28.0,0,0,7.8792,Q,True,3.5536602700781805,False
0,3,male,28.0,0,0,7.8958,S,True,3.5461891131994223,False
0,1,male,40.0,0,0,27.7208,C,True,1.4429597991399958,False
1,1,female,28.0,1,0,146.5208,C,False,0.19109914769780126,True
1,3,female,28.0,0,0,7.75,Q,True,3.6129032258064515,False
0,2,male,66.0,0,0,10.5,S,True,6.285714285714286,False
0,1,male,28.0,1,0,82.1708,C,False,0.3407536497149839,True
0,1,male,42.0,1,0,52.0,S,False,0.8076923076923077,True
1,3,male,28.0,0,0,7.2292,C,True,3.8731809882144637,False
0,3,male,21.0,0,0,8.05,S,True,2.6086956521739126,False
0,3,female,18.0,2,0,18.0,S,False,1.0,False
1,3,female,14.0,1,0,11.2417,C,False,1.2453632457724366,False
0,3,female,40.0,1,0,9.475,S,False,4.221635883905013,False
0,2,female,27.0,1,0,21.0,S,False,1.2857142857142858,False
0,3,male,28.0,0,0,7.8958,C,True,3.5461891131994223,False
1,2,female,3.0,1,2,41.5792,C,False,0.07215146034555739,True
1,3,female,19.0,0,0,7.8792,Q,True,2.4114123261244798,False
0,3,male,28.0,0,0,8.05,S,True,3.4782608695652173,False
0,3,male,28.0,1,0,15.5,Q,False,1.8064516129032258,False
1,3,female,28.0,0,0,7.75,Q,True,3.6129032258064515,False
0,3,male,28.0,2,0,21.6792,C,False,1.2915605741909295,False
0,3,female,18.0,1,0,17.8,S,False,1.0112359550561798,False
0,3,male,7.0,4,1,39.6875,S,False,0.1763779527559055,True
0,3,male,21.0,0,0,7.8,S,True,2.6923076923076925,False
1,1,female,49.0,1,0,76.7292,C,False,0.638609551513635,True
1,2,female,29.0,1,0,26.0,S,False,1.1153846153846154,False
0,1,male,65.0,0,1,61.9792,C,False,1.0487389317706586,True
